Typeofsales,Specialisation,Dept,Dateofbill,Quantity,ReturnQuantity,Final_Cost,Final_Sales,RtnMRP,Formulation,DrugName,SubCat,SubCat1
0,2,2,1/1/2012,-0.7601340813261029,-1.465714979389586,-0.3976267310252884,0.10681231203991338,-0.8691477338243611,0,0,3,1
0,3,2,1/2/2012,-0.7601340813261029,0.30152341087334045,0.0825534481173126,-0.8579571614031978,-1.6024740840940874,0,4,0,0
0,0,3,1/3/2012,-0.7601340813261029,0.890602874294316,-0.2918795040737781,1.7420895171175554,0.2332885429872296,2,2,4,0
0,3,3,1/4/2012,1.3553933015492232,-1.465714979389586,-1.5512907551770068,0.3401059829572976,-0.35987390525286844,1,1,2,1
0,2,2,1/5/2012,-0.7601340813261029,-0.287556052547635,-0.7482063930673438,-1.2712988195793726,-1.1956142787013508,2,2,2,0
0,1,0,1/6/2012,-0.7601340813261029,-0.287556052547635,-0.8775945663386697,0.11167847385771854,0.2549597697349529,4,3,3,1
0,1,0,1/7/2012,-0.1556976862188669,-0.287556052547635,0.017717798928836615,-1.0810248400947593,0.6953750229951315,1,0,3,1
0,2,2,1/8/2012,-0.7601340813261029,0.30152341087334045,-1.5437879398779035,1.5044233529725786,-1.396597429990718,0,0,1,0
0,0,0,1/9/2012,-0.7601340813261029,-0.287556052547635,0.6066180186320267,-1.1186847011195122,1.0539988720784204,0,0,3,1
1,1,1,1/10/2012,-0.45791588377248493,-1.465714979389586,-1.4028624185522964,1.2240195937320952,0.792196471529314,0,2,3,0
1,3,3,1/11/2012,-0.7601340813261029,0.30152341087334045,1.4525958342441094,-0.28755836745525304,-0.10471268709419322,1,3,2,0
1,0,2,1/12/2012,-0.7601340813261029,0.30152341087334045,1.167630415431003,-1.2167131783187757,0.18819840991535416,0,3,1,0
1,0,2,1/13/2012,-0.7601340813261029,0.890602874294316,1.2365713786510641,-0.2133670307548032,1.2528848078760724,4,4,2,1
1,1,2,1/14/2012,0.14652051133475114,-0.287556052547635,-0.9587099091006717,-1.1065898206593154,-0.12883066524891745,0,4,4,0
